Property,Model Name,Predicted Value,Unit
Absorption,Water solubility,-3.267,Numeric (log mol/L)
Absorption,Caco2 permeability,1.365,Numeric (log Papp in 10-6 cm/s)
Absorption,Intestinal absorption (human),99.276,Numeric (% Absorbed)
Absorption,Skin Permeability,-2.639,Numeric (log Kp)
Absorption,P-glycoprotein substrate,No,Categorical (Yes/No)
Absorption,P-glycoprotein I inhibitor,No,Categorical (Yes/No)
Absorption,P-glycoprotein II inhibitor,Yes,Categorical (Yes/No)
Distribution,VDss (human),0.875,Numeric (log L/kg)
Distribution,Fraction unbound (human),0.351,Numeric (Fu)
Distribution,BBB permeability,0.709,Numeric (log BB)
Distribution,CNS permeability,-1.631,Numeric (log PS)
Metabolism,CYP2D6 substrate,No,Categorical (Yes/No)
Metabolism,CYP3A4 substrate,Yes,Categorical (Yes/No)
Metabolism,CYP1A2 inhibitior,Yes,Categorical (Yes/No)
Metabolism,CYP2C19 inhibitior,No,Categorical (Yes/No)
Metabolism,CYP2C9 inhibitior,No,Categorical (Yes/No)
Metabolism,CYP2D6 inhibitior,Yes,Categorical (Yes/No)
Metabolism,CYP3A4 inhibitior,No,Categorical (Yes/No)
Excretion,Total Clearance,1.273,Numeric (log ml/min/kg)
Excretion,Renal OCT2 substrate,Yes,Categorical (Yes/No)
Toxicity,AMES toxicity,No,Categorical (Yes/No)
Toxicity,Max. tolerated dose (human),-0.099,Numeric (log mg/kg/day)
Toxicity,hERG I inhibitor,No,Categorical (Yes/No)
Toxicity,hERG II inhibitor,No,Categorical (Yes/No)
Toxicity,Oral Rat Acute Toxicity (LD50),2.982,Numeric (mol/kg)
Toxicity,Oral Rat Chronic Toxicity (LOAEL),1.205,Numeric (log mg/kg_bw/day)
Toxicity,Hepatotoxicity,Yes,Categorical (Yes/No)
Toxicity,Skin Sensitisation,No,Categorical (Yes/No)
Toxicity,T.Pyriformis toxicity,0.288,Numeric (log ug/L)
Toxicity,Minnow toxicity,-0.507,Numeric (log mM)
