Property,Model Name,Predicted Value,Unit
Absorption,Water solubility,-4.194,Numeric (log mol/L)
Absorption,Caco2 permeability,0.863,Numeric (log Papp in 10-6 cm/s)
Absorption,Intestinal absorption (human),97.084,Numeric (% Absorbed)
Absorption,Skin Permeability,-2.554,Numeric (log Kp)
Absorption,P-glycoprotein substrate,Yes,Categorical (Yes/No)
Absorption,P-glycoprotein I inhibitor,Yes,Categorical (Yes/No)
Absorption,P-glycoprotein II inhibitor,Yes,Categorical (Yes/No)
Distribution,VDss (human),0.641,Numeric (log L/kg)
Distribution,Fraction unbound (human),0.245,Numeric (Fu)
Distribution,BBB permeability,-0.112,Numeric (log BB)
Distribution,CNS permeability,-1.535,Numeric (log PS)
Metabolism,CYP2D6 substrate,No,Categorical (Yes/No)
Metabolism,CYP3A4 substrate,Yes,Categorical (Yes/No)
Metabolism,CYP1A2 inhibitior,Yes,Categorical (Yes/No)
Metabolism,CYP2C19 inhibitior,No,Categorical (Yes/No)
Metabolism,CYP2C9 inhibitior,No,Categorical (Yes/No)
Metabolism,CYP2D6 inhibitior,Yes,Categorical (Yes/No)
Metabolism,CYP3A4 inhibitior,No,Categorical (Yes/No)
Excretion,Total Clearance,1.246,Numeric (log ml/min/kg)
Excretion,Renal OCT2 substrate,No,Categorical (Yes/No)
Toxicity,AMES toxicity,Yes,Categorical (Yes/No)
Toxicity,Max. tolerated dose (human),0.231,Numeric (log mg/kg/day)
Toxicity,hERG I inhibitor,No,Categorical (Yes/No)
Toxicity,hERG II inhibitor,Yes,Categorical (Yes/No)
Toxicity,Oral Rat Acute Toxicity (LD50),2.551,Numeric (mol/kg)
Toxicity,Oral Rat Chronic Toxicity (LOAEL),1.536,Numeric (log mg/kg_bw/day)
Toxicity,Hepatotoxicity,Yes,Categorical (Yes/No)
Toxicity,Skin Sensitisation,No,Categorical (Yes/No)
Toxicity,T.Pyriformis toxicity,0.388,Numeric (log ug/L)
Toxicity,Minnow toxicity,-0.313,Numeric (log mM)
